CLUSTER 2: INTERIOR_ANCHOR
================================================================================

Total players: 59

          playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1  PC2 position expected_position
         Luke Kornet    6.53               2.66               3.43     1.85    0.47    0.96       0.41       20.86                  0.61                     0.00        2 -0.35 3.78  Forward            Center
          Yves Missi    5.71               2.77               3.06     1.27    0.30    1.53       0.82       19.45                  0.54                     0.00        2 -0.46 4.27   Center            Center
      Isaiah Jackson    6.73               2.05               3.22     0.95    0.65    0.89       1.05       16.30                  0.56                     0.00        2 -0.64 3.12  Forward            Center
           Paul Reed    7.47               2.00               2.50     1.20    0.84    0.89       0.91       13.55                  0.57                     0.13        2 -0.68 2.48  Forward            Center
        Jericho Sims    4.83               2.15               3.35     1.53    0.27    0.26       1.11       19.28                  0.67                     0.00        2 -0.73 2.99   Center            Center
      DeAndre Jordan    4.42               2.17               4.17     0.92    0.33    0.83       0.75       16.37                  0.65                     0.00        2 -0.77 3.84   Center            Center
        Goga Bitadze    5.87               2.13               2.84     1.32    0.59    0.97       0.67       14.99                  0.63                     0.02        2 -0.79 3.45  Forward            Center
        Jaxson Hayes    7.53               1.50               2.61     0.89    0.44    0.79       0.47       18.08                  0.71                     0.05        2 -0.84 3.12  Forward            Center
      Oscar Tshiebwe    7.00               2.62               3.62     1.12    0.62    0.19       0.69       15.81                  0.60                     0.00        2 -0.87 3.02  Forward            Center
   Jonas Valanciunas    8.61               1.56               3.41     1.16    0.22    0.56       1.12       13.13                  0.59                     0.08        2 -1.04 2.41   Center            Center
           Adem Bona    4.86               1.81               2.54     0.46    0.43    1.17       0.80       17.16                  0.54                     0.03        2 -1.22 3.21  Forward            Center
       Nick Richards    5.87               1.64               3.53     0.34    0.21    0.68       1.26       14.70                  0.51                     0.07        2 -1.34 2.48   Center            Center
      Charles Bassey    5.00               1.75               2.75     0.42    0.33    0.92       0.42       11.00                  0.66                     0.00        2 -1.66 3.71  Forward            Center
        Moussa Cisse    4.14               2.14               3.16     0.22    0.46    1.16       0.73       13.02                  0.41                     0.00        2 -1.72 3.25   Center            Center
        Clint Capela    3.50               2.07               2.42     0.66    0.47    0.81       0.55       12.01                  0.47                     0.00        2 -2.02 2.95   Center            Center
